Question,Chapter,Marks,Type,Paragraph,CaseID
Assertion: Magnetic field lines are closed loops.\nReason: Magnetic poles always exist in pairs.,Force and Laws of Motion,3,AssertionReason,,
Assertion: Transformer changes voltage levels.\nReason: Turns ratio determines voltage ratio.,Force and Laws of Motion,3,AssertionReason,,
Assertion: Current flows from positive to negative.\nReason: Conventional current direction is established.,Force and Laws of Motion,2,AssertionReason,,
Assertion: Superconductors have zero resistance.\nReason: Electrons flow without collision.,Force and Laws of Motion,4,AssertionReason,,
Assertion: Electric potential is scalar quantity.\nReason: It has magnitude but no direction.,Force and Laws of Motion,2,AssertionReason,,
Assertion: Faraday's law gives induced EMF.\nReason: EMF is proportional to rate of flux change.,Force and Laws of Motion,4,AssertionReason,,
What is the total momentum before collision?,Force and Laws of Motion,2,CaseBased,"Two balls of masses 2 kg and 3 kg move towards each other with velocities 4 m/s and 2 m/s respectively. They collide and stick together.",case6
What is the total momentum after collision?,Force and Laws of Motion,2,CaseBased,"Two balls of masses 2 kg and 3 kg move towards each other with velocities 4 m/s and 2 m/s respectively. They collide and stick together.",case6
Calculate the velocity of combined mass after collision.,Force and Laws of Motion,3,CaseBased,"Two balls of masses 2 kg and 3 kg move towards each other with velocities 4 m/s and 2 m/s respectively. They collide and stick together.",case6
What type of collision is this?,Force and Laws of Motion,1,CaseBased,"Two balls of masses 2 kg and 3 kg move towards each other with velocities 4 m/s and 2 m/s respectively. They collide and stick together.",case6
Is kinetic energy conserved in this collision?,Force and Laws of Motion,2,CaseBased,"Two balls of masses 2 kg and 3 kg move towards each other with velocities 4 m/s and 2 m/s respectively. They collide and stick together.",case6
What is the time period of oscillation?,Motion,2,CaseBased,"A pendulum of length 1 m oscillates with small amplitude. Take g = 10 m/s².",case7
How many oscillations occur in one minute?,Motion,2,CaseBased,"A pendulum of length 1 m oscillates with small amplitude. Take g = 10 m/s².",case7
What happens to period if length is doubled?,Motion,2,CaseBased,"A pendulum of length 1 m oscillates with small amplitude. Take g = 10 m/s².",case7
Does mass of bob affect the period?,Motion,1,CaseBased,"A pendulum of length 1 m oscillates with small amplitude. Take g = 10 m/s².",case7
What is the frequency of oscillation?,Motion,2,CaseBased,"A pendulum of length 1 m oscillates with small amplitude. Take g = 10 m/s².",case7
Calculate the power of the motor.,Work and Energy,3,CaseBased,"An electric motor lifts a load of 500 N through a height of 10 m in 5 seconds.",case8
What is the work done by motor?,Work and Energy,2,CaseBased,"An electric motor lifts a load of 500 N through a height of 10 m in 5 seconds.",case8
What is the efficiency if input power is 1.2 kW?,Work and Energy,3,CaseBased,"An electric motor lifts a load of 500 N through a height of 10 m in 5 seconds.",case8
Where does the lost energy go?,Work and Energy,2,CaseBased,"An electric motor lifts a load of 500 N through a height of 10 m in 5 seconds.",case8
How can efficiency be improved?,Work and Energy,2,CaseBased,"An electric motor lifts a load of 500 N through a height of 10 m in 5 seconds.",case8
What is the wavelength of the sound?,Sound,2,CaseBased,"A tuning fork produces sound of frequency 256 Hz. The speed of sound in air is 340 m/s.",case9
What is the time period of one vibration?,Sound,1,CaseBased,"A tuning fork produces sound of frequency 256 Hz. The speed of sound in air is 340 m/s.",case9
How far does sound travel in one second?,Sound,1,CaseBased,"A tuning fork produces sound of frequency 256 Hz. The speed of sound in air is 340 m/s.",case9
What musical note does this frequency represent?,Sound,2,CaseBased,"A tuning fork produces sound of frequency 256 Hz. The speed of sound in air is 340 m/s.",case9
What happens to wavelength if frequency doubles?,Sound,2,CaseBased,"A tuning fork produces sound of frequency 256 Hz. The speed of sound in air is 340 m/s.",case9
What is the apparent weight of the object?,Floatation,2,CaseBased,"An object weighs 100 N in air and 80 N when completely immersed in water.",case10
Calculate the buoyant force.,Floatation,1,CaseBased,"An object weighs 100 N in air and 80 N when completely immersed in water.",case10
What is the volume of the object?,Floatation,3,CaseBased,"An object weighs 100 N in air and 80 N when completely immersed in water.",case10
Find the density of the object.,Floatation,3,CaseBased,"An object weighs 100 N in air and 80 N when completely immersed in water.",case10
Will this object float or sink in water?,Floatation,2,CaseBased,"An object weighs 100 N in air and 80 N when completely immersed in water.",case10
